assessmentId,internalTaxonId,scientificName,code,name,stressCode,stressName,ancestry,ias,internationalTrade,scope,severity,text,timing,virus
248950875,22720734,Psittirostra psittacea,8.1.1,Unspecified species,1.2|2.2|2.3.2,Ecosystem degradation|Species disturbance|Competition,,,,Majority (50-90%),"Slow, Significant Declines","Unspecified plants, insects, and birds.","Past, Unlikely to Return",
248950875,22720734,Psittirostra psittacea,8.1.2,Named species,1.2,Ecosystem degradation,Feral,Capra hircus,,Majority (50-90%),"Slow, Significant Declines",,"Past, Unlikely to Return",
248950875,22720734,Psittirostra psittacea,8.1.2,Named species,1.2,Ecosystem degradation,Feral,Axis axis,,Majority (50-90%),"Slow, Significant Declines",,"Past, Unlikely to Return",
248950875,22720734,Psittirostra psittacea,8.1.2,Named species,2.1,Species mortality,,Plasmodium relictum,,Majority (50-90%),"Slow, Significant Declines",,"Past, Unlikely to Return",
248950875,22720734,Psittirostra psittacea,10.1,Volcanoes,1.1|1.2|2.1,Ecosystem conversion|Ecosystem degradation|Species mortality,,,,Minority (<50%),Rapid Declines,,"Past, Unlikely to Return",
248950875,22720734,Psittirostra psittacea,8.1.2,Named species,2.1|2.3.7,Species mortality|Reduced reproductive success,Feral,Felis catus,,Majority (50-90%),"Slow, Significant Declines",,"Past, Unlikely to Return",
248950875,22720734,Psittirostra psittacea,5.1.1,Intentional use (species is the target),2.1,Species mortality,,,No,Minority (<50%),"Slow, Significant Declines",,"Past, Unlikely to Return",
248950875,22720734,Psittirostra psittacea,8.5.2,Named species,2.1,Species mortality,,,,Majority (50-90%),"Slow, Significant Declines",,"Past, Unlikely to Return",Avipoxvirus
248950875,22720734,Psittirostra psittacea,11.4,Storms & flooding,1.2|2.1,Ecosystem degradation|Species mortality,,,,Minority (<50%),Rapid Declines,,"Past, Unlikely to Return",
248950875,22720734,Psittirostra psittacea,8.1.2,Named species,2.1|2.3.7,Species mortality|Reduced reproductive success,Feral,Canis familiaris,,Majority (50-90%),"Slow, Significant Declines",,"Past, Unlikely to Return",
248950875,22720734,Psittirostra psittacea,2.1.2,Small-holder farming,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,Majority (50-90%),"Slow, Significant Declines",,"Past, Unlikely to Return",
248950875,22720734,Psittirostra psittacea,8.1.2,Named species,1.2|2.1|2.3.2|2.3.7,Ecosystem degradation|Species mortality|Competition|Reduced reproductive success,Wild,Rattus norvegicus,,Majority (50-90%),"Slow, Significant Declines",,"Past, Unlikely to Return",
248950875,22720734,Psittirostra psittacea,8.1.2,Named species,1.2|2.1|2.3.2|2.3.7,Ecosystem degradation|Species mortality|Competition|Reduced reproductive success,Wild,Rattus exulans,,Majority (50-90%),"Slow, Significant Declines",,"Past, Unlikely to Return",
248950875,22720734,Psittirostra psittacea,8.1.2,Named species,1.2,Ecosystem degradation,Feral,Bos taurus,,Majority (50-90%),"Slow, Significant Declines",,"Past, Unlikely to Return",
248950875,22720734,Psittirostra psittacea,2.1.3,Agro-industry farming,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,Majority (50-90%),Rapid Declines,,"Past, Unlikely to Return",
248950875,22720734,Psittirostra psittacea,1.1,Housing & urban areas,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,Majority (50-90%),"Slow, Significant Declines",,"Past, Unlikely to Return",
248950875,22720734,Psittirostra psittacea,2.3.3,"Agro-industry grazing, ranching or farming",1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,Majority (50-90%),Rapid Declines,,"Past, Unlikely to Return",
248950875,22720734,Psittirostra psittacea,8.1.2,Named species,2.1|2.3.7,Species mortality|Reduced reproductive success,Wild,Urva auropunctata,,Majority (50-90%),"Slow, Significant Declines",,"Past, Unlikely to Return",
248950875,22720734,Psittirostra psittacea,8.1.2,Named species,1.2|1.3,Ecosystem degradation|Indirect ecosystem effects,Feral,Sus scrofa,,Majority (50-90%),"Slow, Significant Declines",,"Past, Unlikely to Return",
250085125,22714229,Zosterops albogularis,8.1.2,Named species,2.3.2,Competition,,Zosterops lateralis,,Majority (50-90%),"Slow, Significant Declines",,"Past, Unlikely to Return",
250085125,22714229,Zosterops albogularis,8.1.2,Named species,2.1|2.3.7,Species mortality|Reduced reproductive success,Wild,Rattus rattus,,Whole (>90%),Rapid Declines,,"Past, Unlikely to Return",
250085125,22714229,Zosterops albogularis,8.1.1,Unspecified species,1.2,Ecosystem degradation,,,,Majority (50-90%),"Slow, Significant Declines",Unspecified plants,"Past, Unlikely to Return",
250085125,22714229,Zosterops albogularis,5.3.3,Unintentional effects: (subsistence/small scale) [harvest],1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,Majority (50-90%),"Slow, Significant Declines",,"Past, Unlikely to Return",
250085125,22714229,Zosterops albogularis,8.1.2,Named species,2.1|2.3.7,Species mortality|Reduced reproductive success,Feral,Felis catus,,Majority (50-90%),"Slow, Significant Declines",,"Past, Unlikely to Return",
250085125,22714229,Zosterops albogularis,2.1.2,Small-holder farming,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,Majority (50-90%),"Slow, Significant Declines",,"Past, Unlikely to Return",
